Date;AppID;AppName;Country;Version;Author;Rating;Title;Review;Translated title;Translated review;Reply Date;Developer Reply;User;Tags;Categories;Notes;Likes;Dislikes;Link;Permalink;AF Link
28/06/20 1:58;746894884;Google Play Películas;us;2.17.0034;Pasta Time;1;Audio doesn’t work;This app used to work but no longer. Now when I cast this app the sound has been replaced by a demonic fluttering noise. My one source for movie rentals is gone. All my other apps cast just fine.;;;;;;;;;;;https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/746894884/activity/ios/ratingsResponses?reviewId=6130112602;https://appfollow.io/app/4037/review/223773399;https://watch.appfollow.io/apps/untitled-collection/reviews/343918?review_id=223773399
28/06/20 1:36;746894884;Google Play Películas;us;2.17.0034;uvcure;5;Love and like;This will help for me I deafly that I do like and love this channel Reason is I would like to know more about please happy improper of you and you do a lot of been very helpful and gratefulness for that I thank you very much for everything what you do;;;;;;;;;;;https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/746894884/activity/ios/ratingsResponses?reviewId=6130055560;https://appfollow.io/app/4037/review/223773398;https://watch.appfollow.io/apps/untitled-collection/reviews/343918?review_id=223773398
27/06/20 2:20;746894884;Google Play Películas;us;2.17.0034;Femtobeam;5;Fixed: Video Jumping to beginning or scrolling to end;"Update: Five Stars! The issue was fixed and it works great! The Play App is a wonderful way to watch my library and the developer response was quick. In any case, if there ever is a problem in the future, your Google library can also be found on YouTube. Thanks.

Older: This issue has destroyed the use of Google Play movies on IOS and iPad Pro. For at least that long the app has ruined the ability to watch any film in my library in the app. It is true of purchased or rented videos. Suddenly, the audio will continue but the video has jumped to somewhere near the beiginning of the movie. After trying to scroll back a few times to the spot where it happened the scroll bar will go all the way to the end and there is no way to move the scroll bar. I see a large number of complaints about this here in the reviews. This needs a fix ASAP.";;;;;;;;;;;https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/746894884/activity/ios/ratingsResponses?reviewId=6126211986;https://appfollow.io/app/4037/review/223174140;https://watch.appfollow.io/apps/untitled-collection/reviews/343918?review_id=223174140
23/06/20 20:30;746894884;Google Play Películas;us;2.17.0034;bstegman;1;Horrible;I just bought some movies to watch while I work and I have to constantly kill the app and open again to get it to resume.  I also keep getting an error screen when trying to resume so I have to kill the app again.  This is really bad.;;;;;;;;;;;https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/746894884/activity/ios/ratingsResponses?reviewId=6113590146;https://appfollow.io/app/4037/review/223174139;https://watch.appfollow.io/apps/untitled-collection/reviews/343918?review_id=223174139
22/06/20 23:22;746894884;Google Play Películas;us;2.17.0034;dorienrobbs;5;I don’t have problems;The app works for me bubble guppies;;;;;;;;;;;https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/746894884/activity/ios/ratingsResponses?reviewId=6110028398;https://appfollow.io/app/4037/review/223075060;https://watch.appfollow.io/apps/untitled-collection/reviews/343918?review_id=223075060
22/06/20 19:21;746894884;Google Play Películas;us;2.17.0034;artemOtvod;2;Can’t normally play a movie;I’m constantly getting 11819 error. It just stops to play. If I try to get back to the moment it stopped it plays sound of that moment but shows random moment of the movie.;;;;;;;;;;;https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/746894884/activity/ios/ratingsResponses?reviewId=6109409557;https://appfollow.io/app/4037/review/223063244;https://watch.appfollow.io/apps/untitled-collection/reviews/343918?review_id=223063244
22/06/20 4:21;746894884;Google Play Películas;us;2.17.0034;Eddie Eddie 1234;1;Garbage app;It’s Father’s Day. All I wanted to do was eat a steak, have a glass of scotch, and watch Once Upon a Time in Hollywood. Steak. Check. Scotch. Check. Now I have a one year old which means seeing a movie in the theater is not an option. Upon looking this movie up, I found it to be available only on this app. Alright, I’ll give it a shot and pay the required $15 for the movie. First hour was fine. Streaming clearly. Then, glitch after glitch after glitch. I discovered, if I stopped the movie then restarted, it would fix itself. But towards the end of the movie, I had to stop and restart about every 5 minutes. This app is absolute garbage. I’ll be deleting this from my device immediately and never using again. Good thing my steak and scotch were good otherwise this app may have ruined Father’s Day.;;;26/06/20 19:13;Thank you for taking the time to reach out, Eddie. Could you please let us know if you're still encountering this issue? We've pushed an update, which should address this. If you are still encountering this problem, please get in touch with our specialists here: https://g.co/help/vxlws;;;;;;;https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/746894884/activity/ios/ratingsResponses?reviewId=6106793000;https://appfollow.io/app/4037/review/222935083;https://watch.appfollow.io/apps/untitled-collection/reviews/343918?review_id=222935083
21/06/20 11:11;746894884;Google Play Películas;us;2.17.0034;clouds res orange;1;Don’t buy or rent;Don’t buy or rent anything from this app it works for a hour then it starts to skip and replay the whole movie so don’t buy or rent anything you’ll be wasting your money.;;;26/06/20 19:13;Thank you for taking the time to reach out. Could you please let us know if you're still encountering this issue? We've pushed an update, which should address this. If you are still encountering this problem, please get in touch with our specialists here: https://g.co/help/vxlws;;;;;;;https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/746894884/activity/ios/ratingsResponses?reviewId=6104050008;https://appfollow.io/app/4037/review/222861855;https://watch.appfollow.io/apps/untitled-collection/reviews/343918?review_id=222861855
21/06/20 5:01;746894884;Google Play Películas;us;2.17.0034;brothertonyhall;1;Follow the bouncing video;I have been trying to watch a movie for 3 days. It keeps the sound playing in the current scene but jumps video all over the place. I exit, go back in, same problem. Skip movie to the end, attempt to watch again, scrolling to where I was before, and I get 5 minutes before it jumps again.;;;26/06/20 19:14;Oh no! Thank you for taking the time to reach out. Could you please let us know if you're still encountering this issue? We've pushed an update, which should address this. If you are still encountering this problem, please get in touch with our specialists here: https://g.co/help/vxlws;;;;;;;https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/746894884/activity/ios/ratingsResponses?reviewId=6103012790;https://appfollow.io/app/4037/review/222849295;https://watch.appfollow.io/apps/untitled-collection/reviews/343918?review_id=222849295
20/06/20 7:11;746894884;Google Play Películas;us;2.17.0034;Boneza;1;Absolutely terrible;I rented a movie and while I would watch it, it would play different scenes over the correct audio at random, and then when I restarted the app, not only did it NOT fix the issue, it also ended my rental period 46 hours early. Will I get it back? Most likely not.;;;26/06/20 19:14;Oh no! Thank you for taking the time to reach out. Could you please let us know if you're still encountering this issue? We've pushed an update, which should address this. If you are still encountering this problem, please get in touch with our specialists here: https://g.co/help/vxlws;;;;;;;https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/746894884/activity/ios/ratingsResponses?reviewId=6099277667;https://appfollow.io/app/4037/review/222763356;https://watch.appfollow.io/apps/untitled-collection/reviews/343918?review_id=222763356
20/06/20 6:01;746894884;Google Play Películas;us;2.17.0034;Madaplayz;5;How to pay;Do you need to pay the movie;;;;;;;;;;;https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/746894884/activity/ios/ratingsResponses?reviewId=6099070180;https://appfollow.io/app/4037/review/222763355;https://watch.appfollow.io/apps/untitled-collection/reviews/343918?review_id=222763355
20/06/20 4:58;746894884;Google Play Películas;us;2.17.0034;Gabrielejordayne;2;Not working;I very upset on a Friday night want to watch a movie of my choice....it isn’t working;;;;;;;;;;;https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/746894884/activity/ios/ratingsResponses?reviewId=6098889355;https://appfollow.io/app/4037/review/222763354;https://watch.appfollow.io/apps/untitled-collection/reviews/343918?review_id=222763354
19/06/20 5:49;746894884;Google Play Películas;us;2.17.0034;lilli sarah;2;Not Worth it.;"Had a problem where the movie stopped playing like an hour in once it loaded the audio picked up where I left off but the picture was from the beginning of the movie. 
You also can’t pause the movie and exit out of the app without it completely glitching out. It completely disappeared from my library.
After reading the reviews found out this isn’t uncommon, and many others have experienced the same thing. Overall just a poor app.";;;26/06/20 19:14;Thank you for taking the time to reach out. Could you please let us know if you're still encountering this issue? We've pushed an update, which should address this. If you are still encountering this problem, please get in touch with our specialists here: https://g.co/help/vxlws;;;;;;;https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/746894884/activity/ios/ratingsResponses?reviewId=6094585987;https://appfollow.io/app/4037/review/222612630;https://watch.appfollow.io/apps/untitled-collection/reviews/343918?review_id=222612630
19/06/20 5:08;746894884;Google Play Películas;us;2.17.0034;Jose alegría;1;This app is dog dooki, fix it;Just download it to see for yourself;;;;;;;;;;;https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/746894884/activity/ios/ratingsResponses?reviewId=6094474229;https://appfollow.io/app/4037/review/222612629;https://watch.appfollow.io/apps/untitled-collection/reviews/343918?review_id=222612629
17/06/20 19:46;746894884;Google Play Películas;us;2.17.0034;nnnnnnnnnnoooooooooooooo;1;A problem;Everything is fine in the beginning of the movie but I start to have problems towards the end, it shows up playback error and I exit out of the app and try again but it usually doesn’t help. This has happened since I’ve downloaded the app but not since I have had my account.;;;26/06/20 19:14;Oh no! Thank you for taking the time to reach out. Could you please let us know if you're still encountering this issue? We've pushed an update, which should address this. If you are still encountering this problem, please get in touch with our specialists here: https://g.co/help/vxlws;;;;;;;https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/746894884/activity/ios/ratingsResponses?reviewId=6088580587;https://appfollow.io/app/4037/review/222442533;https://watch.appfollow.io/apps/untitled-collection/reviews/343918?review_id=222442533
17/06/20 18:21;746894884;Google Play Películas;us;2.17.0034;RawbNaya;2;Buggy;Cant full screen a movie, it stays miniaturized when in landscape mode. Quality seems to be lacking as well for a 1080p movie.;;;;;;;;;;;https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/746894884/activity/ios/ratingsResponses?reviewId=6088329004;https://appfollow.io/app/4037/review/222432159;https://watch.appfollow.io/apps/untitled-collection/reviews/343918?review_id=222432159
15/06/20 19:07;746894884;Google Play Películas;us;2.17.0034;ColumbiaShopper;1;What Kind of a Joke is This?;"This app is terrible! 
How in the world did Google put this out? 
I expected a lot more from them. 
Purchased a movie ($25 for 48 hour access) and was never able to make it through the entire film as the picture would begin jumping to random parts of the movie though the audio continued as if nothing happened to the picture. 
We tried everything (close app and reopen, uninstall and reinstall app, go through the website instead of the app, fast forward, rewind, iPad, iPhone) but nothing worked. 
I finally started a chat with Customer Service (Kristy P) after over a dozen unsuccessful attempts to view this movie within less than a day and was promised a refund after chatting back and forth for over an hour and twenty minutes (the delay is especially ridiculous considering I was put on hold for the majority of the time because the system kept “kicking back the request” and I was repeatedly told “I will check back within five minutes” many times). After waiting for over an hour, I was then told to complete more “steps” after initially being told a refund would not be an issue and could be completed promptly.
NEVER AGAIN!!
I’ll stick with Netflix and Hulu for now and I won’t hold my breath for that refund ($25 lesson learned).";;;26/06/20 19:15;Thank you for taking the time to reach out. Could you please let us know if you're still encountering this issue? We've pushed an update, which should address this. If you are still encountering this problem, please get in touch with our specialists here: https://g.co/help/vxlws;;;;;1;;https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/746894884/activity/ios/ratingsResponses?reviewId=6079962055;https://appfollow.io/app/4037/review/222123736;https://watch.appfollow.io/apps/untitled-collection/reviews/343918?review_id=222123736
15/06/20 16:26;746894884;Google Play Películas;us;2.17.0034;Nelcent;2;.;"I don’t normally write these but this issue has happened a couple of times, across multiple devices, and with multiple movies so it’s become a bit of a pattern.

 It seems to work well for the first hour or so of a movie but more and more recently, around an hour and 15 or so I get a playback error. I closed the whole app and quit it, thinking that would help but it just started me at the beginning of the movie with no ability to skip to where I had been previously. If I try to skip ahead, it just buffers endlessly. If it does finally start playing, it will start playing the sound of where I wanted it to start but the pictures of a few minutes into the movie.";;;26/06/20 19:16;Oh no! Thank you for taking the time to reach out. Could you please let us know if you're still encountering this issue? We've pushed an update, which should address this. If you are still encountering this problem, please get in touch with our specialists here: https://g.co/help/vxlws;;;;;1;;https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/746894884/activity/ios/ratingsResponses?reviewId=6079487359;https://appfollow.io/app/4037/review/222123735;https://watch.appfollow.io/apps/untitled-collection/reviews/343918?review_id=222123735
15/06/20 14:23;746894884;Google Play Películas;us;2.17.0034;hahdswjwv;5;idc;good;;;;;;;;;;;https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/746894884/activity/ios/ratingsResponses?reviewId=6079065895;https://appfollow.io/app/4037/review/222105716;https://watch.appfollow.io/apps/untitled-collection/reviews/343918?review_id=222105716
13/06/20 18:10;746894884;Google Play Películas;us;2.17.0034;m24ell;1;Amateur App;"I can’t believe google put their name on this app. Previous reviewer mentioned all the issues I have PLUS the update makes it where the watch screen no longer fits to your phone screen- it cuts the viewable size into nearly half!! 

It’s 2020 what in the world??";;;;;;;;;;;https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/746894884/activity/ios/ratingsResponses?reviewId=6071795759;https://appfollow.io/app/4037/review/221851581;https://watch.appfollow.io/apps/untitled-collection/reviews/343918?review_id=221851581
13/06/20 8:04;746894884;Google Play Películas;us;2.17.0034;jettisonp;1;New version is garbage!!!;The latest version is horrible!  Someone should be losing their job over this!;;;;;;;;;;;https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/746894884/activity/ios/ratingsResponses?reviewId=6069974852;https://appfollow.io/app/4037/review/221813921;https://watch.appfollow.io/apps/untitled-collection/reviews/343918?review_id=221813921
12/06/20 20:45;746894884;Google Play Películas;us;2.17.0034;cypresswill;1;No search engine?;It isn’t letting me search movies/tv shows;;;;;;;;;;;https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/746894884/activity/ios/ratingsResponses?reviewId=6068176288;https://appfollow.io/app/4037/review/221772907;https://watch.appfollow.io/apps/untitled-collection/reviews/343918?review_id=221772907
12/06/20 20:39;746894884;Google Play Películas;us;2.17.0034;he yuh hfggdg FDA f;1;Google;This is awful it is glitches;;;;;;;;;;;https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/746894884/activity/ios/ratingsResponses?reviewId=6068163890;https://appfollow.io/app/4037/review/221772906;https://watch.appfollow.io/apps/untitled-collection/reviews/343918?review_id=221772906
12/06/20 17:36;746894884;Google Play Películas;us;2.17.0034;AllAboutPuzzles;1;Awful;Don’t bother. Doesn’t function like it should. Can’t get to apps. Just movies and tv you’ve bought. Waste;;;;;;;;;;;https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/746894884/activity/ios/ratingsResponses?reviewId=6067689391;https://appfollow.io/app/4037/review/221763453;https://watch.appfollow.io/apps/untitled-collection/reviews/343918?review_id=221763453
12/06/20 10:47;746894884;Google Play Películas;us;2.17.0034;Malenalani;1;Horrible;This app consistently jumps scenes. Whenever I am towards the end of a movie on this app, it starts playing scenes of the movie from the beginning or the middle. The sound continues on with the movie but the pictures are of all different spots in the movies and I am really getting sick and tired of this. I EXPECTED A LOT MORE FROM GOOGLE!;;;26/06/20 19:16;Oh no! Thank you for taking the time to reach out. Could you please let us know if you're still encountering this issue? We've pushed an update, which should address this. If you are still encountering this problem, please get in touch with our specialists here: https://g.co/help/vxlws;;;;;1;;https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/746894884/activity/ios/ratingsResponses?reviewId=6066399124;https://appfollow.io/app/4037/review/221711262;https://watch.appfollow.io/apps/untitled-collection/reviews/343918?review_id=221711262
12/06/20 6:33;746894884;Google Play Películas;mx;2.17.0034;asquerosos juego;3;Apenas la voy a probar;Mmm pues no c si funcione bien pero apenas la voy a probar;;;;;;;;;;;https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/746894884/activity/ios/ratingsResponses?reviewId=6065773320;https://appfollow.io/app/4037/review/221696917;https://watch.appfollow.io/apps/untitled-collection/reviews/343918?review_id=221696917
12/06/20 4:00;746894884;Google Play Películas;ca;2.17.0034;Tom17432;1;Pointless App;What is the point of this app? You cannot purchase anything unless you log onto the website. You can’t even browse their catalogue since the new update! Google, every other streaming platform has this figured out except for you.;;;;;;;;;;;https://itunesconnect.apple.com/WebObjects/iTunesConnect.woa/ra/ng/app/746894884/activity/ios/ratingsResponses?reviewId=6065434277;https://appfollow.io/app/4037/review/211413895;https://watch.appfollow.io/apps/untitled-collection/reviews/343918?review_id=211413895
